City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Muros,ES,42.7762,-9.0603,64.09,91,52,2.35,broken clouds
268,Idrinskoye,RU,54.3708,92.1358,63.3,66,82,7.07,light rain
269,San Luis,AR,-33.295,-66.3356,57.25,84,73,5.37,broken clouds
270,Aksum,ET,14.1245,38.7244,58.23,79,100,1.32,light rain
271,Bom Jesus,BR,-9.0744,-44.3586,69.19,65,76,3.31,broken clouds
272,Ahipara,NZ,-35.1667,173.1667,63.18,91,95,16.53,overcast clouds
273,Chillicothe,US,39.3331,-82.9824,80.26,85,0,4.61,clear sky
274,Ebolowa,CM,2.9,11.15,67.46,99,100,1.39,overcast clouds
275,Shingu,JP,33.7333,135.9833,84.94,67,51,6.35,broken clouds
276,Leningradskiy,RU,69.3833,178.4167,36.3,91,100,5.64,overcast clouds
277,Luena,AO,-11.7833,19.9167,50.99,52,0,4.05,clear sky
278,Berlevag,NO,70.8578,29.0864,53.6,71,20,8.05,few clouds
279,Marzuq,YE,14.4,46.4667,79.83,58,100,6.42,overcast clouds
280,Tiksi,RU,71.6872,128.8694,50.54,72,48,4.61,scattered clouds
281,Port Hardy,CA,50.6996,-127.4199,60.98,88,40,3.44,fog
282,Okha,RU,53.5739,142.9478,64.53,85,62,11.81,moderate rain
283,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,0,13.8,clear sky
284,Solano,US,38.2333,-121.9511,70.07,76,0,28.77,clear sky
285,Harper,LR,4.375,-7.7169,73.38,78,89,5.88,overcast clouds
286,Alto Araguaia,BR,-17.3147,-53.2153,64.51,49,0,3.71,clear sky
287,Katsuura,JP,35.1333,140.3,82.85,83,100,13.11,light rain
288,Kupang,ID,-10.1667,123.5833,82.83,48,7,14.0,clear sky
289,Sao Caetano De Odivelas,BR,-0.75,-48.02,74.52,94,67,3.98,broken clouds
290,Nogliki,RU,51.8333,143.1667,66.38,71,72,12.66,broken clouds
291,Hofn,IS,64.2539,-15.2082,49.71,91,99,6.22,overcast clouds
292,Sopur,IN,34.3,74.4667,76.98,70,60,4.92,broken clouds
293,Fairbanks,US,64.8378,-147.7164,71.6,41,0,4.61,clear sky
294,Nome,US,64.5011,-165.4064,57.16,55,0,9.22,clear sky
295,Dingle,PH,10.9995,122.6711,86.4,73,88,4.38,light rain
296,Rocha,UY,-34.4833,-54.3333,56.68,99,100,3.24,overcast clouds
297,Vardo,NO,70.3705,31.1107,53.58,71,75,5.75,broken clouds
298,Manjacaze,MZ,-24.7117,33.8828,66.15,54,100,10.65,overcast clouds
299,Fallon,US,39.4735,-118.7774,82.92,15,0,6.91,clear sky
300,Ornskoldsvik,SE,63.2909,18.7153,61.75,88,75,6.91,light rain
301,Yala,TH,6.3333,101.25,90.23,55,100,3.56,overcast clouds
302,Torbay,CA,47.6666,-52.7314,70.88,78,40,14.97,scattered clouds
303,Portobelo,PA,9.55,-79.65,77.11,83,56,8.68,broken clouds
304,Bathsheba,BB,13.2167,-59.5167,79.41,93,40,11.5,scattered clouds
305,Fuling,CN,29.7022,107.3919,93.34,62,12,3.8,few clouds
306,Jedrzejow,PL,50.6394,20.3045,62.37,87,15,2.57,few clouds
307,San Juan De Los Morros,VE,9.9115,-67.3538,69.93,85,26,2.37,scattered clouds
308,Kuching,MY,1.55,110.3333,88.02,70,40,7.0,scattered clouds
309,Morondava,MG,-20.2833,44.2833,68.31,76,0,7.38,clear sky
310,Penzance,GB,50.1186,-5.5371,62.76,87,61,23.51,broken clouds
311,Rincon,US,32.296,-81.2354,81.86,88,0,0.0,clear sky
312,Talnakh,RU,69.4865,88.3972,61.21,62,100,30.29,overcast clouds
313,Uyovu,TZ,-3.2833,31.5258,69.39,46,98,4.97,overcast clouds
314,Saint-Pierre,RE,-21.3393,55.4781,73.9,61,0,16.11,clear sky
315,Uarini,BR,-2.99,-65.1083,72.19,98,81,2.64,broken clouds
316,Ancud,CL,-41.8697,-73.8203,44.22,93,98,9.04,overcast clouds
317,Calamar,CO,10.2511,-74.9146,74.89,91,100,5.23,overcast clouds
318,Awbari,LY,26.5921,12.7805,74.89,35,0,6.6,clear sky
319,Skjervoy,NO,70.0311,20.9714,50.0,77,17,10.16,few clouds
320,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.24,93,100,6.91,light intensity drizzle
321,Kushmurun,KZ,52.4503,64.6311,83.62,27,20,6.67,few clouds
322,Verkhnyaya Inta,RU,65.9811,60.3094,51.73,71,100,15.08,overcast clouds
323,Xining,CN,36.6167,101.7667,75.79,46,0,2.55,clear sky
324,Cabedelo,BR,-6.9811,-34.8339,70.47,84,41,13.24,scattered clouds
325,Ust-Nera,RU,64.5667,143.2,75.52,30,17,1.61,few clouds
326,Arlit,NE,18.7369,7.3853,91.85,23,6,6.49,clear sky
327,Zemlyansk,RU,51.9041,38.7334,71.24,73,3,5.97,clear sky
328,Codrington,AU,-38.2667,141.9667,57.34,86,95,15.68,light rain
329,Pisco,PE,-13.7,-76.2167,56.01,88,47,1.14,mist
330,Pistsovo,RU,57.179,40.5298,74.5,59,10,3.71,clear sky
331,Bichena,ET,10.45,38.2,54.25,84,100,3.13,overcast clouds
332,Kimberley,ZA,-28.7323,24.7623,26.29,93,0,1.14,clear sky
333,Utete,TZ,-7.986,38.758,71.46,80,1,1.32,clear sky
334,Barrow,US,71.2906,-156.7887,42.82,87,100,13.8,overcast clouds
335,Maturin,VE,9.75,-63.1767,71.46,98,80,4.54,broken clouds
336,Pimentel,PE,-6.8367,-79.9342,62.06,93,100,11.25,overcast clouds
337,Brae,GB,60.3964,-1.353,52.36,90,99,19.98,overcast clouds
338,Ewa Beach,US,21.3156,-158.0072,80.55,60,20,15.01,few clouds
339,Pringsewu,ID,-5.3582,104.9744,86.16,64,99,3.49,overcast clouds
340,Dabakala,CI,8.3667,-4.4333,68.16,98,82,3.2,broken clouds
341,Tomatlan,MX,19.9333,-105.25,76.42,93,51,0.43,broken clouds
342,Cayenne,GF,4.9333,-52.3333,82.09,1,0,0.0,clear sky
343,Hamilton,US,39.1834,-84.5333,79.57,89,0,8.05,clear sky
344,Necochea,AR,-38.5473,-58.7368,45.45,97,98,7.78,overcast clouds
345,Iqaluit,CA,63.7506,-68.5145,42.53,100,75,5.75,broken clouds
